DurationNormal CycleNormal IdleTimeNormal ZeroCountNormal Verdict
0.06261 0.5674 0.02537 0.25 0
0.06186 0.56113 0.01549 0.25 1
0.07884 0.21944 0.0 0.0 1
0.06372 0.76489 0.46606 0.75 0
0.06398 0.34169 0.12287 0.0 1
0.06118 0.01254 0.0 0.0 0
0.67099 0.85893 3e-05 0.5 1
0.06087 0.05016 0.09418 0.25 0
0.0617 0.2069 0.02534 1.0 0
0.05954 0.55486 0.03431 1.0 0
0.06277 0.22884 0.03897 0.5 0
0.06364 0.05329 0.1029 0.25 0
0.06361 0.01254 0.0 0.0 1
0.0805 0.58621 3e-05 1.0 0
0.06401 0.82132 2e-05 0.25 0
0.75184 0.53918 4e-05 0.0 1
0.06186 0.88715 2e-05 0.25 0
0.06632 0.56113 0.0155 0.5 0
0.0805 0.70846 0.10317 1.0 0
0.06299 0.76489 0.48491 1.0 0
0.06245 0.40125 0.1094 0.25 1
0.12056 0.95298 7e-05 0.75 1
0.06362 0.19436 0.2742 1.0 0
0.06418 0.30408 0.03355 0.75 0
0.06118 0.34169 0.12299 1.0 0
0.06261 0.67398 4e-05 0.25 0
0.06377 0.82132 0.27027 1.0 0
0.70823 0.46082 0.0 0.0 0
0.06135 0.0 0.0 0.0 0
0.06268 0.52351 0.02545 0.25 1
0.66112 0.62069 1e-05 0.25 0
0.06245 0.56113 0.01549 1.0 0
0.06092 0.56113 0.01549 1.0 0
0.12156 0.77743 3e-05 0.25 1
0.06997 0.01567 0.0 0.0 0
0.06319 0.30094 0.02962 1.0 0
0.08679 0.21003 0.0 0.0 0
0.0624 0.82132 0.27348 1.0 1
0.06128 0.22571 0.05962 1.0 0
0.69163 0.70846 0.01491 0.5 0
0.07573 0.88088 0.76523 0.5 0
0.06186 0.56113 0.01549 0.5 0
0.06115 0.82445 0.00468 1.0 0
0.06175 0.53292 0.00915 0.5 0
0.11431 0.95298 7e-05 0.5 0
0.06556 0.55486 0.0343 1.0 0
0.06227 0.30408 0.03281 0.5 0
0.13423 0.77743 1e-05 0.75 1
0.06201 0.32602 0.00012 0.75 0
0.69472 0.60188 2e-05 0.0 1
0.0511 0.95925 0.01382 0.25 0
0.06291 0.17868 0.0538 1.0 0
0.08431 0.78056 0.24621 0.75 0
0.70041 0.59248 0.01047 1.0 1
0.06645 0.50784 0.48101 0.75 0
0.08024 0.85266 6e-05 0.5 1
0.0786 0.87461 0.51557 0.75 0
0.11715 0.42633 0.46585 0.25 0
0.06546 0.50784 0.48101 1.0 0
0.11674 0.77743 1e-05 1.0 1
0.06598 0.0094 1e-05 0.25 0
0.06653 0.74922 0.00927 0.25 0
0.06217 0.52351 0.02544 0.75 1
0.06169 0.28527 0.16659 1.0 0
0.06387 0.30408 0.00464 0.75 1
0.08094 0.82445 5e-05 1.0 1
0.70349 0.77743 0.33377 0.0 1
0.06537 0.28527 0.16178 0.75 0
0.06152 0.76176 0.19638 0.25 0
0.06211 0.17868 0.0407 0.75 0
0.06446 0.55486 0.0343 1.0 0
0.06631 0.05643 0.10934 0.25 0
0.07983 0.47649 0.00309 1.0 1
0.06121 0.55486 0.0343 1.0 0
0.06164 0.82759 0.00854 1.0 0
0.06183 0.85893 0.0142 1.0 0
0.06082 0.82132 0.26982 1.0 0
0.06259 0.1442 0.3777 0.5 0
0.06235 0.17868 0.0491 0.75 0
0.06925 0.88715 0.06903 0.5 1
0.06385 0.52351 0.00143 0.25 0
0.06255 0.55486 0.0343 1.0 0
0.05865 0.76489 0.46606 0.25 0
0.06527 0.28527 0.16659 1.0 0
0.12044 0.77743 0.4675 0.25 1
0.11325 0.77743 1e-05 0.75 1
0.06334 0.56113 0.0155 0.75 0
0.06557 0.53292 0.00915 1.0 0
0.07821 0.44514 0.00307 0.5 1
0.06169 0.53292 0.00915 1.0 0
0.06229 0.82132 0.27108 0.0 0
0.06072 0.85893 0.01905 1.0 0
0.06225 0.28527 0.16178 0.5 0
0.07956 0.77429 0.24029 0.5 1
0.06272 0.56113 0.0155 1.0 0
0.06159 0.30408 0.03355 1.0 0
0.06352 0.05329 0.1029 0.0 0
0.06772 0.56113 0.01549 0.75 0
0.06243 0.82132 0.27348 1.0 1
0.06201 0.85893 0.01905 1.0 0
0.10912 0.42947 0.32489 0.25 0
0.08807 0.84639 0.24084 0.25 1
0.08319 0.7116 0.60666 0.5 0
0.06377 0.05329 0.00492 0.5 0
0.04701 0.43887 0.06308 1.0 0
0.06135 0.29467 0.01018 0.0 1
0.65975 0.82132 0.24522 0.75 0
0.06245 0.31975 0.05338 0.75 0
0.08975 0.53918 3e-05 0.5 1
0.06235 0.19436 0.2742 1.0 0
0.06077 0.19436 0.2742 1.0 0
0.06088 0.31975 0.06906 0.75 1
0.06104 0.15047 0.00352 0.25 0
0.06377 0.55486 0.03431 1.0 0
0.06092 0.57367 0.01885 1.0 0
0.06557 0.19436 0.2742 1.0 0
0.13627 0.39812 4e-05 0.0 1
0.06348 0.01567 0.0 0.0 0
0.06013 0.28213 0.16175 1.0 0
0.06222 0.53918 3e-05 0.0 1
0.06172 0.28213 0.16175 1.0 0
0.04238 0.86834 0.26511 0.5 0
0.06272 0.01254 0.0 0.0 1
0.06513 0.84326 0.02865 1.0 1
0.06219 0.01567 0.0 0.0 0
0.06192 0.8652 0.01532 0.75 0
0.06148 0.50784 0.481 0.75 0
0.06337 0.09718 0.09928 0.25 0
0.08408 0.53918 4e-05 0.25 1
0.0826 0.48589 0.014 0.25 0
0.0629 0.50784 0.24095 1.0 0
0.06375 0.17868 0.05456 0.25 0
0.06293 0.28213 0.16174 1.0 0
0.12056 0.95298 0.00016 0.75 1
