DurationNormal CycleNormal IdleTimeNormal ZeroCountNormal Verdict
2e-05 0.52537 0.0 1.0 0
0.00483 0.2 0.0 1.0 0
0.00031 0.77612 0.0 1.0 0
1e-05 0.90448 0.0 1.0 0
0.00135 0.28358 0.0 1.0 0
0.00199 0.74328 0.0 1.0 0
0.00085 0.41791 0.0 1.0 0
0.00193 0.35821 0.0 1.0 0
3e-05 0.37612 0.0 1.0 0
3e-05 0.9194 0.0 1.0 0
5e-05 0.95224 0.0 1.0 0
2e-05 0.35821 0.0 1.0 0
0.00508 0.95224 0.0 1.0 0
0.00061 0.74925 0.0 1.0 0
0.00177 0.72537 0.0 1.0 0
2e-05 0.2209 0.0 1.0 0
7e-05 0.76418 0.0 1.0 0
1e-05 0.20299 0.0 1.0 0
1e-05 0.73433 0.0 1.0 0
0.00281 0.18806 0.0 1.0 0
2e-05 0.83582 0.0 1.0 0
0.00104 0.74627 0.0 1.0 0
0.01173 0.97313 0.0 0.75 0
2e-05 0.16119 0.0 1.0 0
2e-05 0.41791 0.0 1.0 0
0.00337 0.6806 0.0 1.0 0
0.01675 0.18209 0.0 1.0 0
0.00033 0.1403 0.0 1.0 0
0.00733 0.06567 0.0 1.0 0
0.00122 0.73433 0.22661 1.0 0
0.00031 0.8209 0.0 1.0 0
0.00324 0.21791 0.0 0.75 0
2e-05 0.2209 0.0 1.0 0
4e-05 0.62388 0.0 1.0 0
2e-05 0.05672 0.0 1.0 0
0.00013 0.40896 0.0 1.0 0
3e-05 0.6806 0.0 1.0 0
2e-05 0.58806 0.0 1.0 0
0.00036 0.70448 0.0 1.0 0
0.00031 0.37313 0.0 1.0 0
4e-05 0.66269 0.0 1.0 0
0.00027 0.79403 0.0 1.0 0
0.00023 0.37313 0.0 1.0 0
4e-05 0.11045 0.0 1.0 0
9e-05 0.28657 0.0 1.0 0
2e-05 0.96418 0.0 1.0 0
2e-05 0.66269 0.0 1.0 0
0.0 0.80597 0.0 1.0 0
0.00465 0.04776 0.0 1.0 0
0.0013 0.09254 0.0 1.0 0
2e-05 0.23881 0.0 1.0 0
0.00017 0.83582 0.0 1.0 0
0.0 0.66269 0.0 1.0 0
0.00417 0.59701 0.0 1.0 0
0.00354 0.17313 0.0 1.0 0
0.00043 0.17612 0.0 1.0 0
9e-05 0.74627 0.0 1.0 0
0.01115 0.99701 0.0 1.0 0
1e-05 0.59104 0.0 1.0 0
3e-05 0.67761 0.0 1.0 0
0.00029 0.59104 0.0 1.0 0
0.00017 0.13433 0.0 1.0 0
4e-05 0.97015 0.0 1.0 0
0.00014 0.06567 0.0 1.0 0
0.00025 0.69851 0.0 1.0 0
0.00072 0.50448 0.0 1.0 0
5e-05 0.67761 0.0 1.0 0
3e-05 0.05672 0.0 1.0 0
0.01375 0.17015 0.0 1.0 0
3e-05 0.6597 0.0 1.0 0
0.0017 0.8209 0.0 1.0 0
0.01819 0.82985 0.0 1.0 0
0.00064 0.75522 0.0 1.0 0
0.00041 0.84179 0.0 1.0 0
0.00048 0.56716 0.0 1.0 0
0.00128 0.05373 0.0 1.0 0
0.01855 0.62388 0.0 1.0 0
1e-05 0.7194 0.0 1.0 0
0.00014 0.69254 0.0 1.0 0
4e-05 0.42388 0.0 1.0 0
4e-05 0.13433 0.0 1.0 0
0.0007 0.45672 0.0 1.0 0
8e-05 0.07164 0.0 1.0 0
4e-05 0.30448 0.0 1.0 0
2e-05 0.9194 0.0 1.0 0
0.0 0.28358 0.0 1.0 0
0.03655 0.20299 0.0 0.5 1
2e-05 0.79104 0.0 1.0 0
0.0001 0.04776 0.0 1.0 0
0.0025 0.99701 0.0 1.0 0
0.00034 0.17313 0.0 1.0 0
1e-05 0.52239 0.0 1.0 0
0.00012 0.4209 0.0 1.0 0
2e-05 0.66269 0.0 1.0 0
0.20386 0.57015 0.0 1.0 1
0.00426 0.59403 0.0 1.0 0
0.00473 0.50448 0.0 1.0 0
0.0001 0.98806 0.0 1.0 0
0.00012 0.06269 0.0 1.0 0
0.00368 0.52537 0.0 1.0 0
0.00305 0.11045 0.0 1.0 0
0.0005 0.72537 0.0 1.0 0
2e-05 0.10746 0.0 1.0 0
0.0111 0.69851 0.0 1.0 0
1e-05 0.00299 0.0 0.0 0
0.00033 0.64179 0.0 1.0 0
3e-05 0.65672 0.0 1.0 0
1e-05 0.78209 0.0 1.0 0
1e-05 0.39104 0.0 1.0 0
3e-05 0.99701 0.0 1.0 0
0.0004 0.52836 0.0 1.0 0
0.0009 0.19701 0.0 1.0 0
5e-05 0.74925 0.0 1.0 0
0.00184 0.96119 0.0 1.0 0
0.97332 0.20299 0.0 1.0 0
0.00078 0.19403 0.0 1.0 0
0.00165 0.00896 0.0 1.0 0
0.00165 0.00896 0.0 0.5 0
0.01432 0.60597 0.0 1.0 0
0.00819 0.50149 0.0 1.0 0
0.00239 0.06269 0.0 1.0 0
2e-05 1.0 0.0 1.0 0
0.0047 0.23582 0.0 1.0 0
0.00228 0.90746 0.0 1.0 0
1e-05 0.50149 0.0 1.0 0
4e-05 0.78209 0.0 1.0 0
0.00034 0.52239 0.0 1.0 0
0.00292 0.74925 0.0 1.0 0
3e-05 0.15821 0.0 1.0 0
0.00107 0.41194 0.0 1.0 0
2e-05 0.04478 0.0 1.0 0
0.00151 0.97015 0.0 1.0 0
0.00022 0.12836 0.0 1.0 0
0.00501 0.44776 0.0 1.0 0
0.02321 0.01194 0.0 1.0 0
0.03903 0.15224 0.0 1.0 0
0.0007 0.19701 -0.14209 1.0 0
4e-05 0.99701 0.0 1.0 0
0.02393 0.93731 0.0 1.0 0
2e-05 0.66866 0.0 1.0 0
