Id;Name;Duration;LastRun;LastResults;Verdict;Cycle;Stage
1;78082;57262;2015-02-13 16:13:00;[];1;1;1
2;78083;57145;2015-02-13 16:13:00;[];1;1;1
3;78084;56861;2015-02-13 16:13:00;[];1;1;1
4;78085;55332;2015-02-13 16:13:00;[];1;1;1
5;78086;59120;2015-02-13 16:13:00;[];1;1;1
6;78098;54792;2015-02-13 16:13:00;[];1;1;1
7;78087;56098;2015-02-13 16:13:00;[];1;1;1
8;78097;56062;2015-02-13 16:13:00;[];1;1;1
9;78096;57046;2015-02-13 16:13:00;[];1;1;1
10;78088;63852;2015-02-13 16:13:00;[];1;1;1
11;78095;57176;2015-02-13 16:13:00;[];1;1;1
12;78094;56819;2015-02-13 16:13:00;[];1;1;1
13;78089;62456;2015-02-13 16:13:00;[];1;1;1
14;78093;57542;2015-02-13 16:13:00;[];1;1;1
15;78092;57052;2015-02-13 16:13:00;[];1;1;1
16;78090;59522;2015-02-13 16:13:00;[];1;1;1
17;78081;56285;2015-02-13 16:13:00;[];1;1;1
18;78080;55577;2015-02-13 16:13:00;[];1;1;1
19;78091;57323;2015-02-13 16:13:00;[];1;1;1
20;78074;54015;2015-02-13 16:13:00;[];1;1;1
21;78076;57319;2015-02-13 16:13:00;[];1;1;1
22;78079;59348;2015-02-13 16:13:00;[];1;1;1
23;78077;59096;2015-02-13 16:13:00;[];1;1;1
24;78078;58661;2015-02-13 16:13:00;[];1;1;1
25;78075;61690;2015-02-13 16:13:00;[];1;1;1
26;78074;54015;2015-02-13 16:17:00;[1];1;1;2
27;78089;62456;2015-02-13 16:17:00;[1];1;1;2
28;78096;57046;2015-02-13 16:17:00;[1];1;1;2
29;78076;57319;2015-02-13 16:17:00;[1];1;1;2
30;78088;63852;2015-02-13 16:17:00;[1];1;1;2
31;78075;61690;2015-02-13 16:17:00;[1];1;1;2
32;78097;56062;2015-02-13 16:17:00;[1];1;1;2
33;78080;55577;2015-02-13 16:17:00;[1];1;1;2
34;78094;56819;2015-02-13 16:17:00;[1];1;1;2
35;78079;59348;2015-02-13 16:17:00;[1];1;1;2
36;78098;54792;2015-02-13 16:17:00;[1];1;1;2
37;78077;59096;2015-02-13 16:17:00;[1];1;1;2
38;78092;57052;2015-02-13 16:17:00;[1];1;1;2
39;78087;56098;2015-02-13 16:17:00;[1];1;1;2
40;78095;57176;2015-02-13 16:17:00;[1];1;1;2
41;78085;55332;2015-02-13 16:17:00;[1];1;1;2
42;78091;57323;2015-02-13 16:17:00;[1];1;1;2
43;78078;58661;2015-02-13 16:17:00;[1];1;1;2
